id,section,type,passage_id,passage_text,prompt,options,correct,explanation
v1,Verbal 1,tc,,,"Although the committee report was ostensibly ___1___, its conclusions were shaped by assumptions that few members were willing to examine.",impartial|derivative|exhaustive|tendentious|conciliatory,0,"""Although"" signals a contrast between how the report appeared and what it actually was. The report only seemed even-handed, so the blank needs a word meaning unbiased: impartial. ""Tendentious"" means the opposite, and the other choices do not contrast with the unexamined assumptions."
v2,Verbal 1,tc,,,"The novelist early work was admired for its ___1___ structure, but critics found her later plots ___2___ by comparison.",predictable|intricate|suspenseful;;clumsy|elegant|dull,1;0,"""But ... by comparison"" sets the later work against the admired early work. The early structure earned admiration for being intricate; the later plots are faulted, so clumsy fits. ""Elegant"" would be praise, and ""dull"" does not contrast with structural admiration."
v3,Verbal 1,tc,,,"Far from being ___1___, the reforms were ___2___ in scope, and their architects made no secret of the ___3___ ambitions behind them.",timid|radical|costly;;modest|sweeping|technical;;trivial|expansive|accidental,0;1;1,"""Far from being"" reverses the first blank against the rest of the sentence. The reforms were large, so the first blank takes timid, the second takes sweeping, and the ambitions behind them are expansive. ""Accidental"" contradicts ""made no secret of""."
v4,Verbal 1,se,,,"Her account of the expedition is refreshingly _____, refusing to romanticize either the landscape or the people who guided her through it.",candid|unsentimental|nostalgic|meticulous|lyrical|mawkish,"0,1","The clause after the blank explains it: she refuses to romanticize. Candid and unsentimental both capture that refusal and produce sentences with the same meaning. Nostalgic, lyrical, and mawkish all point the other way, and meticulous has no partner among the choices."
v5,Verbal 1,rc,p1,"<p>For decades, historians treated the decline of the Mediterranean galley fleets as a straightforward consequence of advances in sail technology. Recent work complicates that picture. Galleys remained competitive in coastal warfare well into the seventeenth century, and their eventual disappearance owed as much to the rising cost of skilled rowers as to any purely technical deficiency. Naval administrators, facing shrinking pools of conscript labor, found the arithmetic of the galley increasingly difficult to justify.</p><p>This revision does not so much overturn the technological account as subordinate it. Sail did displace oar, but the timing of that displacement was set by labor markets rather than by shipwrights.</p>",The primary purpose of the passage is to,describe a technological innovation and trace its consequences|revise an accepted explanation by identifying an additional cause|argue that a historical consensus rests on falsified evidence|compare two distinct periods of naval warfare|defend the continued use of an obsolete technology,1,"The passage says recent work ""complicates"" the standard technological story by adding labor costs as a cause, and that the revision ""does not so much overturn the technological account as subordinate it"". That is revision by an additional cause, not wholesale rejection, so (C) is too strong."
v6,Verbal 1,rc,p1,,"According to the passage, which of the following contributed to the disappearance of galley fleets? Select all that apply.",Advances in sail technology|A shortage of skilled rowers|A decline in coastal warfare,"0,1","The passage credits both causes: ""Sail did displace oar"" and administrators faced ""shrinking pools of conscript labor"" and rising rower costs. It says the opposite of the third choice, noting galleys stayed competitive in coastal warfare into the seventeenth century."
v7,Verbal 1,mc,,,"City officials note that since the bike-share program launched, traffic congestion downtown has fallen by twelve percent. They conclude that the program caused the decline. Which of the following, if true, most weakens the conclusion?",The bike-share program was funded by a dedicated transportation levy.|A major downtown employer relocated to the suburbs in the same month the program launched.|Bike-share usage has grown steadily since the launch.|Congestion in neighboring districts remained unchanged over the period.|The program has been praised by environmental advocacy groups.,1,"The conclusion assumes no other cause explains the drop. A large employer leaving downtown at exactly the same time supplies a rival cause for the same twelve percent, which undercuts the causal claim. The other choices are irrelevant or mildly supportive."
q1,Quant 1,qc,,,x is negative.||x²||x,,0,"Squaring any negative number gives a positive result, so Quantity A is greater than zero while Quantity B is less than zero. Quantity A is greater for every value of x allowed here."
q2,Quant 1,qc,,,n is an integer and 2 < n < 7.||The number of distinct prime factors of n||2,,3,"n can be 3, 4, 5, or 6. For 3, 4, and 5 there is exactly one distinct prime factor, so Quantity B is greater. For 6 = 2 x 3 there are two, so the quantities are equal. The relationship changes with n, so it cannot be determined."
q3,Quant 1,mc,,,"If 3x + 7 = 2x - 5, what is the value of x squared?",-12|12|144|-144|24,2,"Subtract 2x from both sides to get x + 7 = -5, so x = -12. Squaring gives 144. Choice (A) is the value of x itself, not its square."
q4,Quant 1,mcm,,,Which of the following integers are factors of 60? Indicate all that apply.,8|9|10|12|15,"2,3,4","60 = 2² x 3 x 5. Dividing: 60/10 = 6, 60/12 = 5, and 60/15 = 4, so those three are factors. 60/8 = 7.5 and 60/9 is not an integer, so 8 and 9 are not."
q5,Quant 1,ne,,,"A jacket originally priced at $80 is discounted by 25 percent, and then an additional 10 percent is taken off the sale price. What is the final price, in dollars?",,54,"The first discount gives 80 x 0.75 = 60. The second takes 10 percent off that sale price, not off the original: 60 x 0.90 = 54. Stacking the discounts as a single 35 percent off would wrongly give 52."
q6,Quant 1,ne,,,A machine completes 2 of every 3 tasks successfully. What percent of tasks does it complete successfully? Round to the nearest tenth of a percent.,,66.7,"2/3 = 0.6666..., which is 66.666... percent. Rounded to the nearest tenth that is 66.7 percent."
q7,Quant 1,mc,p2,<p><strong>Units sold by region (thousands)</strong></p><table><thead><tr><th>Region</th><th>2021</th><th>2022</th><th>2023</th></tr></thead><tbody><tr><td>North</td><td>120</td><td>150</td><td>180</td></tr><tr><td>South</td><td>90</td><td>80</td><td>110</td></tr><tr><td>East</td><td>60</td><td>75</td><td>90</td></tr><tr><td>West</td><td>130</td><td>145</td><td>120</td></tr></tbody></table>,"In 2023, units sold in the North region were what percent of total units sold that year?",30%|32%|34%|36%|40%,3,"The 2023 column totals 180 + 110 + 90 + 120 = 500 thousand. North sold 180 thousand, and 180/500 = 0.36, so 36 percent."
q8,Quant 1,ne,p2,,By how many thousand units did total sales increase from 2021 to 2023?,,100,"The 2021 column totals 120 + 90 + 60 + 130 = 400 thousand and the 2023 column totals 500 thousand, so the increase is 100 thousand units."
w1,Writing 1,sa,,,"A researcher finds that towns which built public libraries in the 1890s had higher literacy rates in 1910 than towns which did not. She concludes that building the libraries raised literacy. In two or three sentences, explain the main weakness in her reasoning.",,"The reasoning confuses correlation with causation and ignores selection effects. Towns that chose to build libraries in the 1890s were probably already wealthier, more literate, or more invested in education, so the same underlying factor could have produced both the library and the later literacy gains. To support the causal claim she would need to compare towns that were similar before the libraries were built.","A strong answer names the correlation-causation gap AND the specific confound: towns that build libraries were likely different to begin with. Answers that only say ""correlation is not causation"" without identifying a plausible alternative cause are weaker."
w2,Writing 1,essay,,,"<p><strong>Issue task.</strong> Write a response in which you discuss the extent to which you agree or disagree with the claim below, and explain your reasoning. Consider ways in which the claim might or might not hold, and how those considerations shape your position.</p><p><em>""Governments should fund scientific research only when that research is likely to produce a practical benefit within a decade.""</em></p>",,"A strong response takes a clear position and sustains it. It engages seriously with the strongest objection to its own view rather than a caricature, for example by distinguishing basic from applied research, or by noting that the practical value of discoveries is often impossible to forecast in advance. It develops each point with a specific example or a concrete line of reasoning instead of asserting generalities, is organized so the argument builds, and controls sentence structure and word choice well enough that the reasoning is never obscured.",Graded against the GRE Analytical Writing scale from 0 to 6. A band of 4 or above counts as a pass here. The strongest responses usually complicate the claim rather than simply accepting or rejecting it.
